regime,interface,method,visible_attrs,task_attrs,injected_hidden_attrs,latent_states,state_method_decisions,target_attrs,effective_attrs,target_classes,effective_classes,label_accuracy_est,action_success,conditional_action_success,coverage,abstain_rate,probe_cost,utility,observability_violation_attrs,sufficiency_gap_attrs,note
aligned_control,pinch,global_id,"size,shape,stiffness,friction,mass,fragility,texture","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,friction,mass,fragility,texture",373248,5184,0.007747869461617777,1.0,1.0,1.0,0.0,0.0,1.0,"porosity,thermal,liquid,material",,
aligned_control,pinch,common_label,"size,shape,stiffness,friction,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,pinch,oracle_icip,"size,shape,stiffness,friction,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,pinch,learned_icip,"size,shape,stiffness,friction,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,pinch,universal_refinement,"size,shape,stiffness,friction,mass,fragility,texture","size,shape",,373248,373248,"fragility,friction,liquid,mass,material,porosity,shape,size,stiffness,thermal","fragility,friction,mass,shape,size,stiffness",124416,1728,0.008421597240888888,1.0,1.0,1.0,0.0,0.0,1.0,"liquid,material,porosity,thermal",,
aligned_control,pinch,universal_coarsening,"size,shape,stiffness,friction,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,pinch,multimodal_fusion,"size,shape,stiffness,friction,mass,fragility,texture","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material",373248,373248,0.3996373778857418,1.0,1.0,1.0,0.0,0.18,0.8200000000000001,,,
aligned_control,pinch,interface_router,"size,shape,stiffness,friction,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,current interface covers task
aligned_control,pinch,active_icip,"size,shape,stiffness,friction,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,probe not worth its cost or no hidden task gap
aligned_control,pinch,abstaining_icip,"size,shape,stiffness,friction,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,suction,global_id,"size,shape,porosity,mass,texture,liquid,material","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,porosity,mass,texture,liquid,material",373248,4608,0.006886995076993581,1.0,1.0,1.0,0.0,0.0,1.0,"stiffness,friction,fragility,thermal",,
aligned_control,suction,common_label,"size,shape,porosity,mass,texture,liquid,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,suction,oracle_icip,"size,shape,porosity,mass,texture,liquid,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,suction,learned_icip,"size,shape,porosity,mass,texture,liquid,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,suction,universal_refinement,"size,shape,porosity,mass,texture,liquid,material","size,shape",,373248,373248,"fragility,friction,liquid,mass,material,porosity,shape,size,stiffness,thermal","liquid,mass,material,porosity,shape,size",124416,1536,0.007485864214123457,1.0,1.0,1.0,0.0,0.0,1.0,"fragility,friction,stiffness,thermal",,
aligned_control,suction,universal_coarsening,"size,shape,porosity,mass,texture,liquid,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,suction,multimodal_fusion,"size,shape,porosity,mass,texture,liquid,material","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material",373248,373248,0.3996373778857418,1.0,1.0,1.0,0.0,0.18,0.8200000000000001,,,
aligned_control,suction,interface_router,"size,shape,porosity,mass,texture,liquid,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,current interface covers task
aligned_control,suction,active_icip,"size,shape,porosity,mass,texture,liquid,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,probe not worth its cost or no hidden task gap
aligned_control,suction,abstaining_icip,"size,shape,porosity,mass,texture,liquid,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,enveloping,global_id,"size,shape,stiffness,mass,fragility,texture","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,mass,fragility,texture",373248,1728,0.0028071990802962963,1.0,1.0,1.0,0.0,0.0,1.0,"porosity,friction,thermal,liquid,material",,
aligned_control,enveloping,common_label,"size,shape,stiffness,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,enveloping,oracle_icip,"size,shape,stiffness,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,enveloping,learned_icip,"size,shape,stiffness,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,enveloping,universal_refinement,"size,shape,stiffness,mass,fragility,texture","size,shape",,373248,373248,"fragility,friction,liquid,mass,material,porosity,shape,size,stiffness,thermal","fragility,mass,shape,size,stiffness",124416,576,0.0030513033481481483,1.0,1.0,1.0,0.0,0.0,1.0,"friction,liquid,material,porosity,thermal",,
aligned_control,enveloping,universal_coarsening,"size,shape,stiffness,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,enveloping,multimodal_fusion,"size,shape,stiffness,mass,fragility,texture","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material",373248,373248,0.3996373778857418,1.0,1.0,1.0,0.0,0.18,0.8200000000000001,,,
aligned_control,enveloping,interface_router,"size,shape,stiffness,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,current interface covers task
aligned_control,enveloping,active_icip,"size,shape,stiffness,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,probe not worth its cost or no hidden task gap
aligned_control,enveloping,abstaining_icip,"size,shape,stiffness,mass,fragility,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,spatula,global_id,"size,shape,mass,friction,fragility,liquid","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,friction,mass,fragility,liquid",373248,1152,0.0018714660535308642,1.0,1.0,1.0,0.0,0.0,1.0,"stiffness,porosity,thermal,texture,material",,
aligned_control,spatula,common_label,"size,shape,mass,friction,fragility,liquid","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,spatula,oracle_icip,"size,shape,mass,friction,fragility,liquid","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,spatula,learned_icip,"size,shape,mass,friction,fragility,liquid","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,spatula,universal_refinement,"size,shape,mass,friction,fragility,liquid","size,shape",,373248,373248,"fragility,friction,liquid,mass,material,porosity,shape,size,stiffness,thermal","fragility,friction,liquid,mass,shape,size",124416,1152,0.005614398160592593,1.0,1.0,1.0,0.0,0.0,1.0,"material,porosity,stiffness,thermal",,
aligned_control,spatula,universal_coarsening,"size,shape,mass,friction,fragility,liquid","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,spatula,multimodal_fusion,"size,shape,mass,friction,fragility,liquid","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material",373248,373248,0.3996373778857418,1.0,1.0,1.0,0.0,0.18,0.8200000000000001,,,
aligned_control,spatula,interface_router,"size,shape,mass,friction,fragility,liquid","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,current interface covers task
aligned_control,spatula,active_icip,"size,shape,mass,friction,fragility,liquid","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,probe not worth its cost or no hidden task gap
aligned_control,spatula,abstaining_icip,"size,shape,mass,friction,fragility,liquid","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,magnetic,global_id,"size,shape,mass,thermal,texture,material","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,mass,thermal,texture,material",373248,2304,0.0037429321070617284,1.0,1.0,1.0,0.0,0.0,1.0,"stiffness,porosity,friction,fragility,liquid",,
aligned_control,magnetic,common_label,"size,shape,mass,thermal,texture,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,magnetic,oracle_icip,"size,shape,mass,thermal,texture,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,magnetic,learned_icip,"size,shape,mass,thermal,texture,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,magnetic,universal_refinement,"size,shape,mass,thermal,texture,material","size,shape",,373248,373248,"fragility,friction,liquid,mass,material,porosity,shape,size,stiffness,thermal","mass,material,shape,size,thermal",124416,768,0.0040684044641975305,1.0,1.0,1.0,0.0,0.0,1.0,"fragility,friction,liquid,porosity,stiffness",,
aligned_control,magnetic,universal_coarsening,"size,shape,mass,thermal,texture,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,magnetic,multimodal_fusion,"size,shape,mass,thermal,texture,material","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material",373248,373248,0.3996373778857418,1.0,1.0,1.0,0.0,0.18,0.8200000000000001,,,
aligned_control,magnetic,interface_router,"size,shape,mass,thermal,texture,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,current interface covers task
aligned_control,magnetic,active_icip,"size,shape,mass,thermal,texture,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,probe not worth its cost or no hidden task gap
aligned_control,magnetic,abstaining_icip,"size,shape,mass,thermal,texture,material","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,needle,global_id,"size,shape,stiffness,porosity,fragility,liquid,texture","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,porosity,fragility,texture,liquid",373248,2592,0.0038739347308088894,1.0,1.0,1.0,0.0,0.0,1.0,"friction,mass,thermal,material",,
aligned_control,needle,common_label,"size,shape,stiffness,porosity,fragility,liquid,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,needle,oracle_icip,"size,shape,stiffness,porosity,fragility,liquid,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,needle,learned_icip,"size,shape,stiffness,porosity,fragility,liquid,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,needle,universal_refinement,"size,shape,stiffness,porosity,fragility,liquid,texture","size,shape",,373248,373248,"fragility,friction,liquid,mass,material,porosity,shape,size,stiffness,thermal","fragility,liquid,porosity,shape,size,stiffness",124416,864,0.004210798620444444,1.0,1.0,1.0,0.0,0.0,1.0,"friction,mass,material,thermal",,
aligned_control,needle,universal_coarsening,"size,shape,stiffness,porosity,fragility,liquid,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,needle,multimodal_fusion,"size,shape,stiffness,porosity,fragility,liquid,texture","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material",373248,373248,0.3996373778857418,1.0,1.0,1.0,0.0,0.18,0.8200000000000001,,,
aligned_control,needle,interface_router,"size,shape,stiffness,porosity,fragility,liquid,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,current interface covers task
aligned_control,needle,active_icip,"size,shape,stiffness,porosity,fragility,liquid,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,probe not worth its cost or no hidden task gap
aligned_control,needle,abstaining_icip,"size,shape,stiffness,porosity,fragility,liquid,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,clamp,global_id,"size,shape,stiffness,friction,mass,thermal,texture","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,friction,mass,thermal,texture",373248,5184,0.007747869461617777,1.0,1.0,1.0,0.0,0.0,1.0,"porosity,fragility,liquid,material",,
aligned_control,clamp,common_label,"size,shape,stiffness,friction,mass,thermal,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,clamp,oracle_icip,"size,shape,stiffness,friction,mass,thermal,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,clamp,learned_icip,"size,shape,stiffness,friction,mass,thermal,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,clamp,universal_refinement,"size,shape,stiffness,friction,mass,thermal,texture","size,shape",,373248,373248,"fragility,friction,liquid,mass,material,porosity,shape,size,stiffness,thermal","friction,mass,shape,size,stiffness,thermal",124416,1728,0.00842159724088889,1.0,1.0,1.0,0.0,0.0,1.0,"fragility,liquid,material,porosity",,
aligned_control,clamp,universal_coarsening,"size,shape,stiffness,friction,mass,thermal,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
aligned_control,clamp,multimodal_fusion,"size,shape,stiffness,friction,mass,thermal,texture","size,shape",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material",373248,373248,0.3996373778857418,1.0,1.0,1.0,0.0,0.18,0.8200000000000001,,,
aligned_control,clamp,interface_router,"size,shape,stiffness,friction,mass,thermal,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,current interface covers task
aligned_control,clamp,active_icip,"size,shape,stiffness,friction,mass,thermal,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,probe not worth its cost or no hidden task gap
aligned_control,clamp,abstaining_icip,"size,shape,stiffness,friction,mass,thermal,texture","size,shape",,373248,373248,"size,shape","size,shape",16,16,0.8464,1.0,1.0,1.0,0.0,0.0,1.0,,,
baseline_visible,pinch,global_id,"size,shape,stiffness,friction,mass,fragility,texture","stiffness,friction,mass,fragility",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,friction,mass,fragility,texture",373248,5184,0.007747869461617777,1.0,1.0,1.0,0.0,0.0,1.0,"porosity,thermal,liquid,material",,
baseline_visible,pinch,common_label,"size,shape,stiffness,friction,mass,fragility,texture","stiffness,friction,mass,fragility",,373248,373248,"size,shape","size,shape",16,16,0.8464,0.009259259259259259,0.009259259259259259,1.0,0.0,0.0,0.009259259259259259,,"stiffness,friction,mass,fragility",
baseline_visible,pinch,oracle_icip,"size,shape,stiffness,friction,mass,fragility,texture","stiffness,friction,mass,fragility",,373248,373248,"stiffness,friction,mass,fragility","stiffness,friction,mass,fragility",108,108,0.7163929600000001,1.0,1.0,1.0,0.0,0.0,1.0,,,
baseline_visible,pinch,learned_icip,"size,shape,stiffness,friction,mass,fragility,texture","stiffness,friction,mass,fragility",,373248,373248,"stiffness,friction,mass,fragility","stiffness,friction,mass,fragility",108,108,0.7163929600000001,1.0,1.0,1.0,0.0,0.0,1.0,,,
baseline_visible,pinch,universal_refinement,"size,shape,stiffness,friction,mass,fragility,texture","stiffness,friction,mass,fragility",,373248,373248,"fragility,friction,liquid,mass,material,porosity,shape,size,stiffness,thermal","fragility,friction,mass,shape,size,stiffness",124416,1728,0.008421597240888888,1.0,1.0,1.0,0.0,0.0,1.0,"liquid,material,porosity,thermal",,
baseline_visible,pinch,universal_coarsening,"size,shape,stiffness,friction,mass,fragility,texture","stiffness,friction,mass,fragility",,373248,373248,"size,shape","size,shape",16,16,0.8464,0.009259259259259259,0.009259259259259259,1.0,0.0,0.0,0.009259259259259259,,"stiffness,friction,mass,fragility",
baseline_visible,pinch,multimodal_fusion,"size,shape,stiffness,friction,mass,fragility,texture","stiffness,friction,mass,fragility",,373248,373248,"size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material","size,shape,stiffness,porosity,friction,mass,fragility,thermal,texture,liquid,material",373248,373248,0.3996373778857418,1.0,1.0,1.0,0.0,0.18,0.8200000000000001,,,
baseline_visible,pinch,interface_router,"size,shape,stiffness,friction,mass,fragility,texture","stiffness,friction,mass,fragility",,373248,373248,"stiffness,friction,mass,fragility","stiffness,friction,mass,fragility",108,108,0.7163929600000001,1.0,1.0,1.0,0.0,0.0,1.0,,,current interface covers task
baseline_visible,pinch,active_icip,"size,shape,stiffness,friction,mass,fragility,texture","stiffness,friction,mass,fragility",,373248,373248,"stiffness,friction,mass,fragility","stiffness,friction,mass,fragility",108,108,0.7163929600000001,1.0,1.0,1.0,0.0,0.0,1.0,,,probe not worth its cost or no hidden task gap
baseline_visible,pinch,abstaining_icip,"size,shape,stiffness,friction,mass,fragility,texture","stiffness,friction,mass,fragility",,373248,373248,"stiffness,friction,mass,fragility","stiffness,friction,mass,fragility",108,108,0.7163929600000001,1.0,1.0,1.0,0.0,0.0,1.0,,,
