interface_count,task_width,worlds,pair_comparisons,identical_fraction,nested_fraction,non_comparable_fraction,world_fraction_with_non_comparable_pair
3,2,1200,3600,0.018055555555555554,0.0,0.9819444444444444,1.0
3,3,1200,3600,0.008055555555555555,0.0,0.9919444444444444,1.0
3,4,1200,3600,0.0022222222222222222,0.0,0.9977777777777778,1.0
3,5,1200,3600,0.0011111111111111111,0.0,0.9988888888888889,1.0
5,2,1200,12000,0.017916666666666668,0.0,0.9820833333333333,1.0
5,3,1200,12000,0.00575,0.0,0.99425,1.0
5,4,1200,12000,0.002916666666666667,0.0,0.9970833333333333,1.0
5,5,1200,12000,0.0018333333333333333,0.0,0.9981666666666666,1.0
7,2,1200,25200,0.01865079365079365,0.0,0.9813492063492063,1.0
7,3,1200,25200,0.006349206349206349,0.0,0.9936507936507937,1.0
7,4,1200,25200,0.003015873015873016,0.0,0.996984126984127,1.0
7,5,1200,25200,0.002142857142857143,0.0,0.9978571428571429,1.0
9,2,1200,43200,0.017893518518518517,0.0,0.9821064814814815,1.0
9,3,1200,43200,0.005671296296296297,0.0,0.9943287037037037,1.0
9,4,1200,43200,0.002916666666666667,0.0,0.9970833333333333,1.0
9,5,1200,43200,0.0021527777777777778,0.0,0.9978472222222222,1.0
