regime,interface,noise,train_probes,pair_trials,pair_accuracy,false_split_rate,false_merge_rate,estimated_action_success,action_trials
baseline_visible,pinch,0.02,1,11664,0.997010966088909,0.16140783119890656,0.0015084844037280937,0.9153292033912038,373248
baseline_visible,pinch,0.02,2,11664,0.9999076193203512,0.004988556701032931,4.6622025243292654e-05,0.9975020827546295,373248
baseline_visible,pinch,0.02,4,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,pinch,0.02,8,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,pinch,0.02,16,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,pinch,0.02,32,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,pinch,0.02,64,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,pinch,0.08,1,11664,0.9912506710240676,0.47246376470034723,0.004415549202806982,0.7215841450617284,373248
baseline_visible,pinch,0.08,2,11664,0.9993324860510617,0.0360457532426669,0.0003368761985295976,0.9817912920833334,373248
baseline_visible,pinch,0.08,4,11664,0.9996633831946609,0.01817730748831381,0.00016988137839545585,0.9908645364843751,373248
baseline_visible,pinch,0.08,8,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,pinch,0.08,16,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,pinch,0.08,32,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,pinch,0.08,64,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,pinch,0.16,1,11664,0.9866447639969574,0.7211827441642955,0.006740025646395286,0.5123501297260802,373248
baseline_visible,pinch,0.16,2,11664,0.9964700039267717,0.190619787954328,0.001781493345367551,0.8990615099840855,373248
baseline_visible,pinch,0.16,4,11664,0.9976788753530688,0.12534073093428366,0.001171408700320403,0.9349775342578126,373248
baseline_visible,pinch,0.16,8,11664,0.9999076193203512,0.004988556701032931,4.6622025243292654e-05,0.9975020827546295,373248
baseline_visible,pinch,0.16,16,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,pinch,0.16,32,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,pinch,0.16,64,11664,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.02,1,9216,0.9968446438829702,0.15145709361743032,0.0015942851959729483,0.9207815603645834,373248
baseline_visible,suction,0.02,2,9216,0.9999652994791667,0.001665625000000115,1.7532894736842146e-05,0.9991666666666666,373248
baseline_visible,suction,0.02,4,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.02,8,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.02,16,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.02,32,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.02,64,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.08,1,9216,0.9896613743782922,0.49625402984197786,0.005223726629915553,0.702796662808642,373248
baseline_visible,suction,0.08,2,9216,0.9991825830635419,0.03923601294998835,0.00041301066263145573,0.9801412412037038,373248
baseline_visible,suction,0.08,4,9216,0.9997239256148718,0.01325157048615988,0.00013949021564378588,0.9933492893576389,373248
baseline_visible,suction,0.08,8,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.08,16,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.08,32,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.08,64,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.16,1,9216,0.9850123537651522,0.7194070192726978,0.007572705466028397,0.5108338050925927,373248
baseline_visible,suction,0.16,2,9216,0.995753352717183,0.20383906957521636,0.0021456744165812254,0.8913811766015626,373248
baseline_visible,suction,0.16,4,9216,0.9976673070816344,0.11196926008154773,0.0011786237903320801,0.9421282198611112,373248
baseline_visible,suction,0.16,8,9216,0.9998271041189237,0.008299002291666802,8.735791885964703e-05,0.9958361111111111,373248
baseline_visible,suction,0.16,16,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.16,32,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,suction,0.16,64,9216,1.0,0.0,0.0,1.0,373248
baseline_visible,enveloping,0.02,1,1296,0.9931073577066682,0.12406756127997065,0.0035447874651420084,0.9356005486111112,373248
baseline_visible,enveloping,0.02,2,1296,0.9998150846837022,0.0033284756933595894,9.50993055245478e-05,0.9983340277777777,373248
baseline_visible,enveloping,0.02,4,1296,1.0,0.0,0.0,1.0,373248
baseline_visible,enveloping,0.02,8,1296,1.0,0.0,0.0,1.0,373248
baseline_visible,enveloping,0.02,16,1296,1.0,0.0,0.0,1.0,373248
baseline_visible,enveloping,0.02,32,1296,1.0,0.0,0.0,1.0,373248
baseline_visible,enveloping,0.02,64,1296,1.0,0.0,0.0,1.0,373248
baseline_visible,enveloping,0.08,1,1296,0.9787029360898205,0.38334715038323053,0.01095277572523515,0.781499074074074,373248
baseline_visible,enveloping,0.08,2,1296,0.9985363487498276,0.026345722503104074,0.0007527349286601164,0.9867249166666667,373248
baseline_visible,enveloping,0.08,4,1296,0.9992637320913955,0.01325282235487879,0.00037865206728225154,0.9933479062500001,373248
baseline_visible,enveloping,0.08,8,1296,1.0,0.0,0.0,1.0,373248
baseline_visible,enveloping,0.08,16,1296,1.0,0.0,0.0,1.0,373248
baseline_visible,enveloping,0.08,32,1296,1.0,0.0,0.0,1.0,373248
baseline_visible,enveloping,0.08,64,1296,1.0,0.0,0.0,1.0,373248
