hidden_task_probability,probe_cost,naive_icip_utility,active_icip_utility,abstaining_icip_utility,multimodal_fusion_utility,winner
0.0,0.0,1.0,1.0,1.0,0.8200000000000001,naive_icip
0.0,0.02,1.0,1.0,1.0,0.8200000000000001,naive_icip
0.0,0.05,1.0,1.0,1.0,0.8200000000000001,naive_icip
0.0,0.1,1.0,1.0,1.0,0.8200000000000001,naive_icip
0.0,0.2,1.0,1.0,1.0,0.8200000000000001,naive_icip
0.0,0.4,1.0,1.0,1.0,0.8200000000000001,naive_icip
0.0,0.8,1.0,1.0,1.0,0.8200000000000001,naive_icip
0.1,0.0,0.9333333333333333,1.0,0.9,0.8200000000000001,active_icip
0.1,0.02,0.9333333333333333,0.998,0.9,0.8200000000000001,active_icip
0.1,0.05,0.9333333333333333,0.995,0.9,0.8200000000000001,active_icip
0.1,0.1,0.9333333333333333,0.99,0.9,0.8200000000000001,active_icip
0.1,0.2,0.9333333333333333,0.98,0.9,0.8200000000000001,active_icip
0.1,0.4,0.9333333333333333,0.96,0.9,0.8200000000000001,active_icip
0.1,0.8,0.9333333333333333,0.9333333333333333,0.9,0.8200000000000001,naive_icip
0.2,0.0,0.8666666666666667,1.0,0.8,0.8200000000000001,active_icip
0.2,0.02,0.8666666666666667,0.996,0.8,0.8200000000000001,active_icip
0.2,0.05,0.8666666666666667,0.99,0.8,0.8200000000000001,active_icip
0.2,0.1,0.8666666666666667,0.98,0.8,0.8200000000000001,active_icip
0.2,0.2,0.8666666666666667,0.96,0.8,0.8200000000000001,active_icip
0.2,0.4,0.8666666666666667,0.9199999999999999,0.8,0.8200000000000001,active_icip
0.2,0.8,0.8666666666666667,0.8666666666666667,0.8,0.8200000000000001,naive_icip
0.4,0.0,0.7333333333333333,1.0,0.6,0.8200000000000001,active_icip
0.4,0.02,0.7333333333333333,0.992,0.6,0.8200000000000001,active_icip
0.4,0.05,0.7333333333333333,0.98,0.6,0.8200000000000001,active_icip
0.4,0.1,0.7333333333333333,0.96,0.6,0.8200000000000001,active_icip
0.4,0.2,0.7333333333333333,0.9199999999999999,0.6,0.8200000000000001,active_icip
0.4,0.4,0.7333333333333333,0.84,0.6,0.8200000000000001,active_icip
0.4,0.8,0.7333333333333333,0.7333333333333333,0.6,0.8200000000000001,multimodal_fusion
0.6,0.0,0.6,1.0,0.4,0.8200000000000001,active_icip
0.6,0.02,0.6,0.988,0.4,0.8200000000000001,active_icip
0.6,0.05,0.6,0.97,0.4,0.8200000000000001,active_icip
0.6,0.1,0.6,0.94,0.4,0.8200000000000001,active_icip
0.6,0.2,0.6,0.88,0.4,0.8200000000000001,active_icip
0.6,0.4,0.6,0.76,0.4,0.8200000000000001,multimodal_fusion
0.6,0.8,0.6,0.6,0.4,0.8200000000000001,multimodal_fusion
0.8,0.0,0.4666666666666666,1.0,0.19999999999999996,0.8200000000000001,active_icip
0.8,0.02,0.4666666666666666,0.984,0.19999999999999996,0.8200000000000001,active_icip
0.8,0.05,0.4666666666666666,0.96,0.19999999999999996,0.8200000000000001,active_icip
0.8,0.1,0.4666666666666666,0.9199999999999999,0.19999999999999996,0.8200000000000001,active_icip
0.8,0.2,0.4666666666666666,0.84,0.19999999999999996,0.8200000000000001,active_icip
0.8,0.4,0.4666666666666666,0.6799999999999999,0.19999999999999996,0.8200000000000001,multimodal_fusion
0.8,0.8,0.4666666666666666,0.4666666666666666,0.19999999999999996,0.8200000000000001,multimodal_fusion
1.0,0.0,0.3333333333333333,1.0,0.0,0.8200000000000001,active_icip
1.0,0.02,0.3333333333333333,0.98,0.0,0.8200000000000001,active_icip
1.0,0.05,0.3333333333333333,0.95,0.0,0.8200000000000001,active_icip
1.0,0.1,0.3333333333333333,0.9,0.0,0.8200000000000001,active_icip
1.0,0.2,0.3333333333333333,0.8,0.0,0.8200000000000001,multimodal_fusion
1.0,0.4,0.3333333333333333,0.6,0.0,0.8200000000000001,multimodal_fusion
1.0,0.8,0.3333333333333333,0.3333333333333333,0.0,0.8200000000000001,multimodal_fusion
